,Timestamp,Temperature(C),Humidity(%),Rain_raw, Light_raw, UV_raw,soil_moist_raw,irrigation,artificial_water_consumption_per_acre(L/3min),total_artificial_water_consumption(L/3min)
0,1689970463,25,72,671,0.0,0,619.43,1,0.0,0.0
1,1689970644,25,72,670,0.2,0,616.6,1,102.6,3488.4
2,1689970824,25,72,670,0.0,0,616.6,1,102.6,3488.4
3,1689971005,25,72,671,0.0,0,616.6,1,102.6,3488.4
4,1689971185,25,72,671,0.0,0,616.6,1,102.6,3488.4
5,1689971366,25,72,671,0.0,0,619.43,1,102.6,3488.4
6,1689971546,25,72,671,0.0,0,619.43,1,102.6,3488.4
7,1689971727,25,72,670,0.0,0,616.6,1,102.6,3488.4
8,1689971907,24,72,670,0.0,0,619.43,1,102.6,3488.4
9,1689972088,25,71,671,0.0,0,619.43,1,102.6,3488.4
10,1689972268,25,71,671,0.0,0,619.43,1,102.6,3488.4
11,1689972448,25,71,671,0.0,0,619.43,1,102.6,3488.4
12,1689972629,25,72,670,0.0,0,619.43,1,102.6,3488.4
13,1689972809,25,73,671,0.0,0,619.43,1,102.6,3488.4
14,1689972990,25,72,670,0.0,0,619.43,1,102.6,3488.4
15,1689973170,25,73,671,0.0,0,619.43,1,102.6,3488.4
16,1689973351,24,74,671,0.0,0,619.43,1,102.6,3488.4
17,1689973531,24,73,671,0.0,0,619.43,1,102.6,3488.4
18,1689973712,24,73,671,0.0,0,619.43,1,102.6,3488.4
19,1689973892,24,73,671,0.0,0,619.43,1,102.6,3488.4
20,1689974073,24,73,670,0.0,0,619.43,1,102.6,3488.4
21,1689974253,24,74,671,0.0,0,619.43,1,102.6,3488.4
22,1689974434,24,75,670,0.0,0,619.43,1,102.6,3488.4
23,1689974614,24,76,670,0.0,0,619.43,1,102.6,3488.4
24,1689974795,23,76,671,0.0,0,622.26,1,102.6,3488.4
25,1689974975,23,77,671,0.0,0,622.26,1,102.6,3488.4
26,1689975156,23,76,671,0.0,0,619.43,1,102.6,3488.4
27,1689975336,23,77,671,0.0,0,619.43,1,102.6,3488.4
28,1689975516,23,76,670,0.0,0,619.43,1,102.6,3488.4
29,1689975697,23,75,671,0.0,0,622.26,1,102.6,3488.4
30,1689975877,23,75,670,0.0,0,622.26,1,102.6,3488.4
31,1689976058,23,75,671,0.0,0,619.43,1,102.6,3488.4
32,1689976238,23,74,671,0.0,0,622.26,1,102.6,3488.4
33,1689976419,23,74,671,0.0,0,622.26,1,102.6,3488.4
34,1689976599,23,73,671,0.0,0,619.43,1,102.6,3488.4
35,1689976780,23,74,671,0.0,0,622.26,1,102.6,3488.4
36,1689976960,23,74,671,0.0,0,622.26,1,102.6,3488.4
37,1689977141,23,74,671,0.0,0,622.26,1,102.6,3488.4
38,1689977321,23,74,671,0.0,0,622.26,1,102.6,3488.4
39,1689977502,24,73,671,0.0,0,622.26,1,102.6,3488.4
40,1689977682,24,73,671,0.0,0,622.26,1,102.6,3488.4
41,1689977863,24,74,671,0.0,0,622.26,1,102.6,3488.4
42,1689978043,24,74,671,0.0,0,622.26,1,102.6,3488.4
43,1689978223,24,74,671,0.0,0,622.26,1,102.6,3488.4
44,1689978404,24,73,671,0.0,0,622.26,1,102.6,3488.4
45,1689978584,24,73,671,0.0,0,622.26,1,102.6,3488.4
46,1689978765,24,74,671,0.0,0,622.26,1,102.6,3488.4
47,1689978945,23,75,671,0.0,0,622.26,1,102.6,3488.4
48,1689979126,23,76,671,0.0,0,622.26,1,102.6,3488.4
49,1689979306,23,76,671,0.0,0,622.26,1,102.6,3488.4
50,1689979487,23,76,671,0.0,0,622.26,1,102.6,3488.4
51,1689979667,23,76,671,0.0,0,622.26,1,102.6,3488.4
52,1689979848,23,77,670,0.0,0,622.26,1,102.6,3488.4
53,1689980028,22,77,671,0.0,0,622.26,1,102.6,3488.4
54,1689980209,22,78,670,0.0,0,622.26,1,102.6,3488.4
