Timestamp,Temperature(C),Humidity(%),Rain_raw, Light_raw,soil_moist_percent(%), UV_raw,irrigation,artificial_water_consumption_per_acre(L/3min),total_artificial_water_consumption(L/3min),soil_moist_raw
1687543040,25,49,676,0.0,53,0,0,0.0,0.0,400.73
1687543220,25,49,679,561.4,53,3,0,0.0,0.0,400.73
1687543401,25,49,675,260.2,55,4,0,0.0,0.0,395.55
1687543581,25,49,676,340.0,56,3,0,0.0,0.0,392.96000000000004
1687543762,25,50,675,257.8,56,1,0,0.0,0.0,392.96000000000004
1687543942,25,50,675,189.0,57,1,0,0.0,0.0,390.37
1687544123,25,51,676,132.2,57,1,0,0.0,0.0,390.37
1687544303,24,51,676,86.4,57,0,0,0.0,0.0,390.37
1687544483,24,51,675,53.8,57,0,0,0.0,0.0,390.37
1687544664,24,52,675,31.6,58,1,0,0.0,0.0,387.78
1687544844,24,52,675,18.2,58,1,0,0.0,0.0,387.78
1687545025,24,52,675,10.6,58,0,0,0.0,0.0,387.78
1687545205,24,52,675,6.2,58,0,0,0.0,0.0,387.78
1687545386,24,53,675,3.6,58,0,0,0.0,0.0,387.78
1687545566,24,52,675,2.0,59,0,0,0.0,0.0,385.19
1687545746,24,53,675,1.2,58,0,0,0.0,0.0,387.78
1687545927,24,53,675,0.6,59,0,0,0.0,0.0,385.19
1687546107,23,54,675,0.4,59,0,0,0.0,0.0,385.19
1687546288,23,56,676,0.2,59,0,0,0.0,0.0,385.19
1687546468,23,58,675,0.2,58,0,0,0.0,0.0,387.78
1687546649,23,58,675,0.2,59,0,0,0.0,0.0,385.19
1687546829,23,60,676,0.0,58,0,0,0.0,0.0,387.78
1687547010,23,60,675,0.0,59,0,0,0.0,0.0,385.19
1687547190,22,61,675,0.0,59,0,0,0.0,0.0,385.19
1687547370,22,61,676,0.0,58,0,0,0.0,0.0,387.78
1687547551,22,62,675,0.0,59,0,0,0.0,0.0,385.19
1687547731,22,62,675,0.0,58,0,0,0.0,0.0,387.78
1687547912,22,63,675,0.0,58,0,0,0.0,0.0,387.78
1687548092,22,64,676,0.0,58,0,0,0.0,0.0,387.78
1687548273,21,64,676,0.0,58,0,0,0.0,0.0,387.78
1687548453,21,64,675,0.0,58,0,0,0.0,0.0,387.78
1687548633,22,63,676,0.0,59,0,0,0.0,0.0,385.19
1687548814,22,64,676,0.0,59,0,0,0.0,0.0,385.19
1687548994,22,62,676,0.0,58,0,0,0.0,0.0,387.78
1687549175,22,61,675,0.0,58,0,0,0.0,0.0,387.78
1687549355,22,61,675,0.0,58,0,0,0.0,0.0,387.78
1687549536,22,60,676,0.0,58,0,0,0.0,0.0,387.78
1687549716,22,60,675,0.0,58,0,0,0.0,0.0,387.78
1687549897,22,60,676,0.0,58,0,0,0.0,0.0,387.78
1687550077,22,60,676,0.0,58,0,0,0.0,0.0,387.78
1687550257,21,61,676,0.0,58,0,0,0.0,0.0,387.78
1687550438,21,62,676,0.0,58,0,0,0.0,0.0,387.78
1687550618,21,61,676,0.0,58,0,0,0.0,0.0,387.78
1687550799,21,62,676,0.0,58,0,0,0.0,0.0,387.78
1687550979,21,62,676,0.0,58,0,0,0.0,0.0,387.78
1687551160,21,63,676,0.0,58,0,0,0.0,0.0,387.78
1687551340,21,63,676,0.0,58,0,0,0.0,0.0,387.78
1687551520,21,63,676,0.0,58,0,0,0.0,0.0,387.78
1687551701,21,63,676,0.0,58,0,0,0.0,0.0,387.78
1687551881,21,63,676,0.0,58,0,0,0.0,0.0,387.78
1687552062,21,63,676,0.0,58,0,0,0.0,0.0,387.78
1687552242,21,63,676,0.0,58,0,0,0.0,0.0,387.78
1687552423,21,64,677,0.0,58,0,0,0.0,0.0,387.78
1687552603,21,66,676,0.0,58,0,0,0.0,0.0,387.78
1687552784,20,66,677,0.0,58,0,0,0.0,0.0,387.78
1687552964,20,66,677,0.0,58,0,0,0.0,0.0,387.78
1687553144,21,66,676,0.0,58,0,0,0.0,0.0,387.78
1687553325,21,64,676,0.0,58,0,0,0.0,0.0,387.78
1687553505,21,63,677,0.0,58,0,0,0.0,0.0,387.78
1687553686,21,63,676,0.0,58,0,0,0.0,0.0,387.78
1687553866,21,62,676,0.0,58,0,0,0.0,0.0,387.78
